Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
OR 718,"Bobby ""O""*",I'm So Hot For You / Still Hott 4 U,"""O"" Records","12""",,1982,102787,Uncategorized,,,,
VIS091,Jesper Dahlbäck,Summer Jam Madness EP,20:20 Vision,"12"", EP",,2003,164019,Uncategorized,,,,
BWAY 414,Skipworth & Turner,Thinking About Your Love,4th & Broadway,"12""",,1985,189410,Uncategorized,,,,
541416 501245,Various,Dance Train Classics Vinyl 25,541,"12""",,2004,311735,Uncategorized,,,,
SIXXLP 6,Kevin Saunderson,Faces & Phases,6 x 6 Records,"3xLP, Comp, Ltd",,1996,64389,Uncategorized,,,,
50467-4723-2,Annie,Anniemal,679 Recordings,"CD, Album",,2004,336081,Uncategorized,,,,
679L075T,Annie,Chewing Gum,679 Recordings,"12""",,2004,323428,Uncategorized,,,,
atoc9001,Various,A Touch Of Class Sucks!,A Touch Of Class Recordings (US),"2x12""",,2003,235349,Uncategorized,,,,
atocp03,Scissor Sisters,Comfortably Numb,A Touch Of Class Recordings (US),"12"", Promo, S/Sided",,2002,104169,Uncategorized,,,,
ABCL 5163,Pointer Sisters,Having A Party,ABC Records,LP,,1977,1465786,Uncategorized,2010-03-11 07:03:23,,,
ADR 7,Abe Duque,What Happened?,Abe Duque Records,"12""",,2004,242763,Uncategorized,,,,
AHAB 05,Microman,If I Let You Down (Remix),Ahab,"12""",,1999,218792,Uncategorized,,,,
ML-2225,Larry Heard Presents: Mr. White*,You Rock Me / The Sun Can't Compare,Alleviated Records,"12""",5,2006,820980,Uncategorized,,,,
ABR005,Albion*,Space Time Continuum,Ambassador's Reception,"12""",,2009,1763402,Uncategorized,2010-12-20 08:59:14,,,
APR 039 CD,Håkan Lidbo,Before The Beginning,April Records,"CD, Album",,1999,51444,Uncategorized,,,,
601 139,Hipnosis,Pulstar (Special Disco Mix),Ariola,"12"", Maxi",,1983,145810,Uncategorized,,,,
"ASW 91708-2, 72435 91708 2 4",Kraftwerk,Tour De France Soundtracks,"Astralwerks, Astralwerks","CD, Album",,2003,177549,Uncategorized,,,,
780 040-1,Klein & M.B.O.,First...,Atlantic,LP,,1983,46492,Uncategorized,,,,
ATL 50 790,Gino Soccio,Closer,Atlantic,"LP, Album",,1981,159321,Uncategorized,,,,
0-89902,Quadrant Six,Body Mechanic,"Atlantic, RFC Records","12""",,1982,51934,Uncategorized,,,,
JAXX008,Basement Jaxx,Sleazycheeks EP,Atlantic Jaxx,"12"", EP",5,1996,4648,Uncategorized,,,,
