Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Collection Folder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
206 666,Savage Progress,Celebration,10 Records,LP,,1984,412726,priced,2010-12-07 20:56:09,,,
"208 207, DIX 48, 208 207-630",Anne Clark,Hopeless Cases,"10 Records, 10 Records, 10 Records","LP, Album",,1987,305810,priced,2010-11-18 02:13:21,,,
4M162,Cluster,Sowiesoso,4 Men With Beards,"LP, Album, RE, 180",,2008,1482885,priced,2010-11-12 22:28:00,,,
4M163,Eno*Moebius*Roedelius*,After The Heat,4 Men With Beards,"LP, Album, RE, 180",,2009,1642766,priced,2010-11-12 15:15:00,Near Mint (NM or M-),Near Mint (NM or M-),
4W-345,Octave One Presents Kaotic Spacial Rhythms,Kaotic Spacial Rhythms Three - Barrage,430 West,"12""",,2000,4154,priced,2010-11-18 00:26:55,,,
BWAY-416,Sly & Robbie,Bass & Trouble,4th & Broadway,"12""",,1985,1441183,priced,2010-11-12 21:40:41,,,
541416 500469,Various,Dance Train Classics Vinyl 9,541,"12"", Comp",,2000,79454,priced,2010-11-17 23:30:47,,,
5D002,"Time & Space Machine, The",Volume Two,5D Recordings,"LP, MiniAlbum",,2009,1735228,priced,2010-11-12 21:05:14,,,
SP-12049,"Human League, The",Hard Times / Love Action (I Believe In Love),A&M Records,"12""",,1981,420738,priced,2010-11-18 02:05:04,,,
SP-3209,"League Unlimited Orchestra, The",Love And Dancing,A&M Records,LP,,1982,351480,priced,2010-11-16 18:30:14,,,
SP-4853,Yellow Magic Orchestra,BGM,A&M Records,"LP, Album",,1981,58024,Uncategorized,2011-04-25 20:04:39,,,
SP6-4981,Simple Minds,Sparkle In The Rain,A&M Records,LP,,1984,641011,not priced,2010-11-18 02:08:14,,,
SP 4822,Split Enz,True Colours,"A&M Records, A&M Records Of Canada Limited","LP, Album",,1980,1552488,priced,2010-11-12 23:06:21,,,
"SP-12058, FBN 20",52nd Street,Cool As Ice,"A&M Records, Of Factory New York","12""",,1983,378085,priced,2010-11-18 01:50:28,,,
atoc003,Waldorf,You're My Disco,A Touch Of Class Recordings (US),"12""",,2000,13384,priced,2010-11-18 01:30:27,,,
AC 1020,Asso,Do It Again,Ace Records (5),"12"", Unofficial, RE",4,2010,2372605,priced,2010-11-12 14:58:19,Near Mint (NM or M-),Near Mint (NM or M-),
ABR004,Loud E*,Drums Dutour II,Ambassador's Reception,"12""",,2008,1561992,priced,2010-11-13 01:41:28,,,
ABR005,Albion*,Space Time Continuum,Ambassador's Reception,"12""",,2009,1763402,priced,2010-11-13 02:25:05,,,
DPU1289,Theo Parrish / Isoul8 & Mark De Clive-Lowe,Stop Bajon,Archive (2),"12""",,2010,2514665,not priced,2011-01-29 20:42:01,,,
DOCUMENT  7,Theo Parrish,That Day / How I Feel,Archive (2),"12""",,2000,2910,priced,2010-11-18 21:18:07,,,
ARCO 013,Ben Rymer,La Trinciatrice,Arcobaleno Records,"12""",,2009,2098001,not priced,2010-11-17 21:39:11,,,
"608 547, 608 547-213",16 Bit,Where Are You?,"Ariola, Ariola","12"", Maxi",,1986,95792,priced,2010-12-22 22:26:33,,,
207 218,Frank Chickens,We Are Frank Chickens,"Ariola, Kaz Records",LP,,1984,770665,not priced,2011-01-29 20:37:48,,,
OP 2208,Carol Jiani,Hit 'N Run Lover,Ariola Records America,"12"", Ltd",,1981,586330,priced,2010-11-12 23:23:56,,,
CP 723,Heaven 17,Who Will Stop The Rain,Arista,"12""",,1982,603468,priced,2010-11-18 02:00:18,,,
CP 726,Ministry,Work For Love,Arista,"12""",,1983,206739,priced,2010-11-18 02:04:29,,,
601 062,Ministry,I Wanted To Tell Her,"Arista, Ariola Eurodisc GmbH","12"", Maxi",,1983,601806,priced,2010-11-18 02:03:55,,,
"CP 725, CP725",Thompson Twins,Lies,"Arista, Arista","12""",,1982,1430273,priced,2010-11-18 02:14:52,,,
ZARM 10,Armand Van Helden,The Boogie Monster / Cum,Armed Records,"12""",,1999,43783,priced,2010-12-04 19:07:30,Very Good Plus (VG+),Very Good Plus (VG+),
ATA 001,Pépé Bradock,6 Millions Pintades EP,Atavisme,"12"", EP",,2000,17541,priced,2010-12-04 19:16:30,,,
90014-1,Gary Numan,"I, Assassin",ATCO Records,"LP, Album",,1982,603387,Uncategorized,2011-04-25 20:11:40,,,
DMD 1254,"Beat Club, The",Security,Atlantic,"12"", Promo",,1988,500308,priced,2010-12-07 20:30:49,,,
DSKO 158,"Wonder Band, The",Whole Lotta Love,Atlantic,"12"", Promo",,1979,842043,Uncategorized,2011-03-12 13:53:46,,,
SD 16042,Gino Soccio,Closer,Atlantic,"LP, Album, Promo",,1981,1441087,priced,2010-11-12 22:58:12,,,
SD 18195,Jean-Luc Ponty,Imaginary Voyage,Atlantic,"LP, Album",,1976,933606,priced,2010-11-13 02:25:43,,,
SD 19358,Gino Soccio,Face To Face,Atlantic,"LP, Album",,1982,365874,priced,2010-11-12 22:54:32,,,
"DMD  394, DMD 394",Quadrant Six,Body Mechanic,"Atlantic, RFC Records","12"", Promo",,1982,19667,priced,2010-12-06 22:39:33,,,
DMD 364,Gino Soccio,You Move Me,"Atlantic, RFC Records","12"", Promo",,1982,702902,Uncategorized,2011-03-12 13:55:19,,,
AVI-6035,Laurin Rinder & W. Michael Lewis*,Seven Deadly Sins,AVI Records,"LP, Album",4,1977,202307,priced,2010-11-12 14:28:51,,,
AVI-6073,Rinder & Lewis,Warriors,AVI Records,"LP, Album",3,1979,181247,priced,2010-11-12 14:31:20,,,
AX-016,Jeff Mills,Very EP,Axis,"12"", EP",,1996,110,priced,2010-11-18 00:08:59,,,
BSR- 6107,Giorgio Moroder,Cat People - Original Soundtrack,Backstreet Records,"LP, Album",,1982,54498,priced,2010-11-12 22:45:43,,,
L33-1113,Devo,Theme From Doctor Detroit,Backstreet Records,"12"", Promo",,1983,914826,priced,2010-11-12 21:20:18,,,
BAG 001 PRO 001,Yum Yum,Jungle Love,Bag Records,"12"", Promo",,0,931397,priced,2010-12-04 19:14:33,,,
290 014,Elegance (7),Vacances J'Oublie Tout,Barclay,"12"", Maxi",,1982,1349647,priced,2010-11-12 22:47:45,,,
"FACT 50, FACT. 50",New Order,Movement,"Base Record, Factory","LP, Album",,1981,460508,priced,2010-11-18 01:54:19,,,
ASMITH 01,Alice Smith,Love Endeavor,BBE,"12""",,2006,803258,priced,2010-12-20 10:02:07,,,
BBE 120 C LP,Henrik Schwarz / Âme / Dixon,The Grandfather Paradox,BBE,"2x12"", Comp",,2009,1678297,priced,2010-11-12 20:40:34,Near Mint (NM or M-),Mint (M),
